Registry_ID,Site name,Seed URL,Business area 1,Business area 2,Type,Owner,Description,URL status,Redirects to,Preservation status,ACT ID,AWS ID,Accession no,Crawl start date,Crawl frequency,Crawl depth,Licence Status,Notes
WAR464,Nzira Yeparuware - Tanatsei Gambura,https://linktr.ee/nzira_yeparuware/,UNKNOWN,UNKNOWN,Individual,,"Linktree site associated with the sound installation 'Nzira Yeparuware' created by artist Tanatsei Gambura and installed at Edinburgh Castle from 1 September until 30 November 2023. The installation took visitors to the Castle ""on a sound walk through the historic site to map Scotland’s involvement in the creation of Zimbabwe’s streetscapes"". The Linktree site provided an access point to each of the recordings, as well as contextual information on the project. 'Nzira Yeparuware' was acquired by the University of Edinburgh's Art Collection in 2023.",Active,,Manual capture - completed,,,,,,,Granted,"The capture was created using WebRecorder tools, and formed part of the purchase of the artwork. "
WAR465,Edinburgh University Glee Club,https://sites.google.com/site/eugleeclub/,UNKNOWN,UNKNOWN,Student group,,"Site commemorating a male-voice choir, Edinburgh University Glee Club, that was founded in 1958. The website was created in the early 21st century by Tom Cunningham (Secretary 1966-67, President 1967-68), following reunions of the Club in 2012 and 2015. It was last updated in September 2021. ",Active,,Manual capture - completed,,,SC-Acc-2024-0063,,,,TBD,The captures were created by the Web Archivist in March 2023 using the ArchiveWeb.page tool. An index of the main structure has been provided for ease of navigation. The 'Contact' page has not been captured in order to comply with data protection legislation
WAR466,Shii News,https://www.shii-news.imes.ed.ac.uk/,CAHSS,LLC,Research activity,Andrew Newman,"Resources for the study of and news about Shiism and Shii communities past and present, and home of the Shii News email list.",Active,,Added to UKWA - AWS,,,,,Monthly,Capped,Umbrella - auto,
WAR467,Scottish Institute for Research in Economics (SIRE),https://www.sire.ac.uk/,CAHSS,Economics,Research activity,Stuart Sayer,"Research group focused on Scottish economics with three thematic programmes: behaviour, incentives and contracts; work and wellbeing; macroeconomics, financial linkages and the regions. ",Active,,Active UKWA crawl,111911,,,28/04/2020,Domain only,Capped large,Umbrella - manual,
WAR468,Scientific Knowledge Across Jurisdictions + Ocean and Us,https://www.skaje.uk/,CAHSS,"Philosophy, Psychology & Language Sciences",Research activity,Michela Massimi,"Site of a cross-disciplinary research project exploring scientific knowledge production across epistemic communities and national jurisdictions, with a focus on Scottish marine biodiversity and coastal communities. Hosted by the School of Philosophy, Psychology and Language Sciences at the University of Edinburgh, in partnership with the School of Natural and Computing Sciences and the School of Law at the University of Aberdeen.",Active,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - manual,
WAR469,"Centre for Science, Knowledge and Policy at Edinburgh | University of Edinburgh, The",https://www.skape.ed.ac.uk/,CAHSS,Social & Political Sciences,Research activity,Marc Geddes,Research group examining the relationship between knowledge and policy. ,Active,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
WAR470,Skills in Action | Edinburgh College of Art,https://www.skillsinaction.eca.ed.ac.uk/,CAHSS,ECA,Research activity,Deborah Maxwell,"Site of a collaborative multi-institution early career researcher programme, exploring and creating new understandings of knowledge exchange through a series of skills development events.",Retired,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,Not currently live - placeholder landing page
WAR471,"Scots Law News | University of Edinburgh, The",https://www.sln.law.ed.ac.uk/,CAHSS,Law,Research activity,,Blog providing observations and reflections on current Scots law news,Extinct,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
WAR472,"Credit Research Centre | University of Edinburgh, The",https://crc.business-school.ed.ac.uk/,CAHSS,Business,Centre/Institute,,,Active,,Active UKWA crawl,,253235,,22/09/2024,Monthly,Capped,Umbrella - auto,
WAR473,"Whalsay's Heritage of Song | School of Scottish Studies Archives | University of Edinburgh, The",https://www.sssa.llc.ed.ac.uk/whalsay/,ISG,Library and Collections,Research activity,Cathlin Macaulay,Site providing access to audio recordings made by ethnomusicologist Peter Cooke during the period 1969-1984 when he was researching the music of the Shetland Isles from his base in the School of Scottish Studies at the University of Edinburgh.,Active,,Added to UKWA - AWS,,,,,Annual,Capped,Umbrella - auto,
